what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1307053660363
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307053677534
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307053681500
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307053684643
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1307053689464
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307053710030
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307053715842
activated,perspective,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1307053719269
activated,editor,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1307053719277
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1307053726695
activated,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1307053727001
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1307053746984
closed,editor,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1307053758670
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307053764506
error,log,,,"No command output when running: 'am start -D -n player.tinymod/player.tinymod.client.Start -a android.intent.action.MAIN -c android.intent.category.LAUNCHER' on device emulator-5554",1307053765311
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307053789910
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1307053792171
activated,perspective,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugPerspective",1307053809726
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1307053837057
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307053843178
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307053845109
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307053845417
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307053850838
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307054021924
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307054027026
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307054059640
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307054062288
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307054062475
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307054064076
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307054065900
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307054077236
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307054079608
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307054082237
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307054104095
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307054108371
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307054140786
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307054142426
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307054255276
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1307054261250
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307054279867
error,log,,,"No command output when running: 'am start -D -n player.tinymod/player.tinymod.client.Start -a android.intent.action.MAIN -c android.intent.category.LAUNCHER' on device emulator-5554",1307054280233
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307054307288
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307054318200
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307054427982
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307054431210
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307055551466
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307055554888
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.0.v20100518,"org.eclipse.equinox.p2.extensionlocation",1307055616191
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.1.R36x_v20100901,"org.eclipse.equinox.p2.artifact.repository",1307055618328
started,bundle,org.eclipse.equinox.p2.publisher,1.1.2.v20100824-2220,"org.eclipse.equinox.p2.publisher",1307055619567
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.0.3.R36x_v20101202,"org.eclipse.equinox.p2.touchpoint.eclipse",1307055620412
started,bundle,org.eclipse.ecf.filetransfer,4.0.0.v20100906-1425,"org.eclipse.ecf.filetransfer",1307055628015
started,bundle,org.eclipse.ecf.identity,3.1.0.v20100906-1425,"org.eclipse.ecf.identity",1307055628812
started,bundle,org.eclipse.ecf,3.1.0.v20100906-1425,"org.eclipse.ecf",1307055630301
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100906-1425,"org.eclipse.ecf.provider.filetransfer.httpclient",1307055631664
started,bundle,org.eclipse.ecf.provider.filetransfer,3.1.0.v20100906-1425,"org.eclipse.ecf.provider.filetransfer",1307055631722
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.201.R36x_v20100823,"org.eclipse.equinox.p2.updatesite",1307055677545
started,bundle,org.eclipse.equinox.p2.director,2.0.3.R36x_v20101117-1018,"org.eclipse.equinox.p2.director",1307055685098
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.100.v20100503,"org.eclipse.equinox.p2.garbagecollector",1307055685327
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307055905055
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307055918030
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307055946220
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307055952886
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307056024287
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1307056029628
